hcpcs_code,hcpcs_desc,hcpcs_effectivedt,hcpcs_terminationdt
Q0168,"DRONABINOL, 5 MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC, FOR USE AS ACOMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT THE TIME OF       ",1998-04-01 05:00:00,
Q0169,"PROMETHAZINE HYDROCHLORIDE, 12.5 MG, ORAL, FDA APPROVED PRESCRIPTIONANTI-EMETIC, FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV AN            ",1998-04-01 05:00:00,
Q0170,"PROMETHAZINE HYDROCHLORIDE, 25  MG, ORAL, FDA APPROVED PRESCRIPTIONANTI-EMETIC, FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV AN             ",1998-04-01 05:00:00,
Q0171,"CHLORPROMAZINE HYDROCHLORIDE, 10  MG, ORAL, FDA APPROVED PRESCRIPTIONANTI-EMETIC, FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV AN           ",1998-04-01 05:00:00,
Q0172,"CHLORPROMAZINE HYDROCHLORIDE, 25 MG, ORAL, FDA APPROVED PRESCRIPTIONANTI-EMETIC, FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV AN            ",1998-04-01 05:00:00,
Q0173,"TRIMETHOBENZAMIDE HYDROCHLORIDE, 250 MG, ORAL, FDA APPROVED PRESCRIPTIONANTI-EMETIC, FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV AN        ",1998-04-01 05:00:00,
Q0174,"THIETHYLPERAZINE MALEATE, 10 MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC,FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT    ",1998-04-01 05:00:00,
Q0175,"PERPHENAZINE, 4 MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC, FOR USE AS ACOMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT THE TIME OF     ",1998-04-01 05:00:00,
Q0176,"PERPHENAZINE, 8MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC, FOR USE AS ACOMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT THE TIME OF      ",1998-04-01 05:00:00,
Q0177,"HYDROXYZINE PAMOATE, 25 MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC, FORUSE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT THE     ",1998-04-01 05:00:00,
Q0178,"HYDROXYZINE PAMOATE, 50 MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC, FORUSE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT THE     ",1998-04-01 05:00:00,
Q0179,"ONDANSETRON HYDROCHLORIDE 8  MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC,FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT    ",2009-01-01 05:00:00,
Q0180,"DOLASETRON MESYLATE, 100  MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC, FORUSE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT THE   ",1998-04-01 05:00:00,
Q0181,"UNSPECIFIED ORAL DOSAGE FORM, FDA APPROVED PRESCRIPTION ANTI-EMETIC, FOR USE ASA COMPLETE THERAPEUTIC SUBSTITUTE FOR A IV ANTI-EMETIC AT THE TIME OF  ",1998-04-01 05:00:00,
Q0182,"DERMAL AND EPIDERMAL, TISSUE OF NON-HUMAN ORIGIN, WITH OR WITHOUT OTHERBIOENGINEERED OR PROCESSED ELEMENTS, WITHOUT METABOLICALLY ACTIVE ELEM         ",2005-01-01 05:00:00,1104469200000.0
Q0183,"DERMAL TISSUE, OF HUMAN ORIGIN, WITH AND WITHOUT OTHER BIOENGINEERED ORPROCESSED ELEMENTS, BUT WITHOUT METABOLICALLY ACTIVE ELEMENTS, PER SQU         ",2005-01-01 05:00:00,1104469200000.0
J0890,"Injection, peginesatide, 0. 1 mg (for esrd on dialysis)                                                                                               ",2013-01-01 05:00:00,
J1050,"Injection, medroxyprogesterone acetate, 1 mg                                                                                                          ",2013-01-01 05:00:00,
E0975,"REINFORCED SEAT UPHOLSTERY, WHEELCHAIR                                                                                                                ",2004-01-01 05:00:00,1072846800000.0
E0976,"REINFORCED BACK, WHEELCHAIR, UPHOLSTERY OR OTHER MATERIAL                                                                                             ",2004-01-01 05:00:00,1072846800000.0
E0977,"WEDGE CUSHION, WHEELCHAIR                                                                                                                             ",2007-01-01 05:00:00,1167541200000.0
E0979,"BELT, SAFETY WITH VELCRO CLOSURE, WHEELCHAIR                                                                                                          ",2004-01-01 05:00:00,1072846800000.0
E0980,"SAFETY VEST, WHEELCHAIR                                                                                                                               ",1989-01-01 05:00:00,
E0981,"WHEELCHAIR ACCESSORY, SEAT UPHOLSTERY, REPLACEMENT ONLY, EACH                                                                                         ",2004-01-01 05:00:00,
E0982,"WHEELCHAIR ACCESSORY, BACK UPHOLSTERY, REPLACEMENT ONLY, EACH                                                                                         ",2004-01-01 05:00:00,
E0983,"MANUAL WHEELCHAIR ACCESSORY, POWER ADD-ON TO CONVERT MANUAL WHEELCHAIR TOMOTORIZED WHEELCHAIR, JOYSTICK CONTROL                                       ",2004-01-01 05:00:00,
E0984,"MANUAL WHEELCHAIR ACCESSORY, POWER ADD-ON TO CONVERT MANUAL WHEELCHAIR TOMOTORIZED WHEELCHAIR, TILLER CONTROL                                         ",2004-01-01 05:00:00,
E0985,"WHEELCHAIR ACCESSORY, SEAT LIFT MECHANISM                                                                                                             ",2004-01-01 05:00:00,
E0986,"MANUAL WHEELCHAIR ACCESSORY, PUSH ACTIVATED POWER ASSIST, EACH                                                                                        ",2005-01-01 05:00:00,
E0990,"WHEELCHAIR ACCESSORY, ELEVATING LEG REST, COMPLETE ASSEMBLY, EACH                                                                                     ",2004-01-01 05:00:00,
E0991,UPHOLSTERY SEAT                                                                                                                                       ,2004-01-01 05:00:00,1072846800000.0
E0992,"MANUAL WHEELCHAIR ACCESSORY, SOLID SEAT INSERT                                                                                                        ",2004-01-01 05:00:00,
E0993,"BACK, UPHOLSTERY                                                                                                                                      ",2004-01-01 05:00:00,1072846800000.0
E0994,"ARM REST, EACH                                                                                                                                        ",1989-01-01 05:00:00,
E0995,"WHEELCHAIR ACCESSORY, CALF REST/PAD, EACH                                                                                                             ",2004-01-01 05:00:00,
E0997,CASTER WITH A FORK                                                                                                                                    ,2007-01-01 05:00:00,1167541200000.0
E0998,CASTER WITHOUT FORK                                                                                                                                   ,2007-01-01 05:00:00,1167541200000.0
E0999,PNEUMATIC TIRE WITH WHEEL                                                                                                                             ,2007-01-01 05:00:00,1167541200000.0
E1002,"WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, TILT ONLY                                                                                                 ",2004-01-01 05:00:00,
E1003,"WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, RECLINE ONLY, WITHOUT SHEARREDUCTION                                                                      ",2004-01-01 05:00:00,
E1004,"WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, RECLINE ONLY, WITH MECHANICAL SHEARREDUCTION                                                              ",2004-01-01 05:00:00,
E1005,"WHEELCHAIR ACCESSORY, POWER SEATNG SYSTEM, RECLINE ONLY, WITH POWER SHEARREDUCTION                                                                    ",2004-01-01 05:00:00,
E1006,"WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, COMBINATION TILT AND RECLINE,WITHOUT SHEAR REDUCTION                                                      ",2004-01-01 05:00:00,
E1007,"WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, COMBINATION TILT AND RECLINE, WITHMECHANICAL SHEAR REDUCTION                                              ",2004-01-01 05:00:00,
E1008,"WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, COMBINATION TILT AND RECLINE, WITHPOWER SHEAR REDUCTION                                                   ",2004-01-01 05:00:00,
E1009,"WHEELCHAIR ACCESSORY, ADDITION TO POWER SEATING SYSTEM, MECHANICALLY LINKED LEGELEVATION SYSTEM, INCLUDING PUSHROD AND LEG REST, EACH                 ",2004-01-01 05:00:00,
E1010,"WHEELCHAIR ACCESSORY, ADDITION TO POWER SEATING SYSTEM, POWER LEG ELEVATIONSYSTEM, INCLUDING LEG REST, PAIR                                           ",2005-01-01 05:00:00,
